,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
line440,434,441,(0.00056826+4.286304e-05j),(0.0005682600000000001+4.286304000000001e-05j),(0.0005682599999999999+4.286303999999999e-05j),(8.11800000000001e-06+1.4410681719542566e-22j),(8.118000000000006e-06+0j),(8.118000000000006e-06-4.32489202619539e-22j),0j,0j,0j,0j,0j,0j
line441,435,442,(6.964349333333334e-05+1.0398e-05j),(6.964349333333334e-05+1.0397999999999994e-05j),(6.964349333333334e-05+1.0398e-05j),(3.165613333333334e-05+2.7727999999999826e-07j),(3.165613333333334e-05+2.772800000000007e-07j),(3.165613333333334e-05+2.7728000000000165e-07j),0j,0j,0j,0j,0j,0j
line442,436,443,(3.9181999999999985e-05+5.849999999999995e-06j),(3.918199999999998e-05+5.849999999999995e-06j),(3.9182e-05+5.849999999999998e-06j),(1.780999999999999e-05+1.5599999999999796e-07j),(1.7809999999999997e-05+1.5599999999999796e-07j),(1.7809999999999994e-05+1.5599999999999785e-07j),0j,0j,0j,0j,0j,0j
line443,437,444,(0.00030344999999999987+2.288879999999999e-05j),(0.00030345+2.28888e-05j),(0.0003034499999999999+2.28888e-05j),(4.335000000000003e-06+4.1092696061048317e-23j),(4.3350000000000025e-06+8.218539212209663e-23j),(4.335000000000003e-06-4.1108736095458886e-23j),0j,0j,0j,0j,0j,0j
line444,438,445,(0.0007916766666666667+5.9715039999999996e-05j),(0.0007916766666666666+5.971504e-05j),(0.0007916766666666665+5.971503999999998e-05j),(1.1309666666666678e-05+0j),(1.1309666666666678e-05+4.195437941158288e-22j),(1.1309666666666676e-05+2.798050386241015e-22j),0j,0j,0j,0j,0j,0j
line445,439,446,(0.005040770900000002+0.0004822651000000001j),(0.0050407709+0.00048226509999999977j),(0.005040770900000001+0.0004822650999999998j),(0.0022252231999999998+3.201759999999993e-05j),(0.0022252231999999998+3.201759999999983e-05j),(0.0022252232+3.2017599999999814e-05j),0j,0j,0j,0j,0j,0j
line446,439,447,(0.005040770900000002+0.0004822651000000001j),(0.0050407709+0.00048226509999999977j),(0.005040770900000001+0.0004822650999999998j),(0.0022252231999999998+3.201759999999993e-05j),(0.0022252231999999998+3.201759999999983e-05j),(0.0022252232+3.2017599999999814e-05j),0j,0j,0j,0j,0j,0j
line447,441,448,(0.00053382+4.0265279999999994e-05j),(0.00053382+4.0265280000000014e-05j),(0.00053382+4.026528e-05j),(7.626000000000007e-06+2.5433728434307446e-22j),(7.626000000000009e-06+1.2716864217153723e-22j),(7.626000000000006e-06+0j),0j,0j,0j,0j,0j,0j
line448,442,449,(5.644217333333333e-05+8.426999999999996e-06j),(5.644217333333333e-05+8.426999999999999e-06j),(5.644217333333335e-05+8.427000000000002e-06j),(2.565553333333333e-05+2.247200000000023e-07j),(2.5655533333333335e-05+2.247200000000007e-07j),(2.565553333333334e-05+2.2472000000000232e-07j),0j,0j,0j,0j,0j,0j
line449,443,450,(3.980790733333333e-05+5.943449999999999e-06j),(3.980790733333332e-05+5.943449999999995e-06j),(3.980790733333332e-05+5.943449999999997e-06j),(1.8094503333333322e-05+1.5849199999999837e-07j),(1.8094503333333322e-05+1.5849199999999917e-07j),(1.809450333333332e-05+1.584919999999994e-07j),0j,0j,0j,0j,0j,0j
line450,444,451,(0.0010479466666666667+7.904512e-05j),(0.0010479466666666667+7.904512e-05j),(0.0010479466666666667+7.904512000000002e-05j),(1.4970666666666682e-05+2.450409783616413e-22j),(1.497066666666668e-05+2.450409783616413e-22j),(1.4970666666666677e-05+0j),0j,0j,0j,0j,0j,0j
line451,445,452,(0.000692603333333333+5.224207999999997e-05j),(0.0006926033333333335+5.2242080000000004e-05j),(0.0006926033333333333+5.224208000000001e-05j),(9.894333333333341e-06-3.2110773418081876e-22j),(9.894333333333338e-06+0j),(9.894333333333341e-06-2.1415538312111566e-22j),0j,0j,0j,0j,0j,0j
line452,446,453,(0.0015293688666666667+0.0001463191333333334j),(0.0015293688666666665+0.00014631913333333334j),(0.0015293688666666667+0.00014631913333333337j),(0.0006751322666666666+9.714133333333361e-06j),(0.0006751322666666666+9.714133333333343e-06j),(0.0006751322666666668+9.71413333333335e-06j),0j,0j,0j,0j,0j,0j
line453,446,454,(0.0015293688666666667+0.0001463191333333334j),(0.0015293688666666665+0.00014631913333333334j),(0.0015293688666666667+0.00014631913333333337j),(0.0006751322666666666+9.714133333333361e-06j),(0.0006751322666666666+9.714133333333343e-06j),(0.0006751322666666668+9.71413333333335e-06j),0j,0j,0j,0j,0j,0j
line454,448,455,(0.0005093083333333331+3.841639999999998e-05j),(0.0005093083333333332+3.84164e-05j),(0.0005093083333333331+3.84164e-05j),(7.2758333333333375e-06-1.157582404128492e-22j),(7.2758333333333375e-06+2.315164808256984e-22j),(7.2758333333333375e-06+1.158034252349103e-22j),0j,0j,0j,0j,0j,0j
line455,449,456,(8.627575e-05+1.2881250000000006e-05j),(8.627574999999997e-05+1.2881249999999991e-05j),(8.627574999999998e-05+1.2881249999999996e-05j),(3.921624999999998e-05+3.435000000000026e-07j),(3.921624999999998e-05+3.435000000000026e-07j),(3.921624999999998e-05+3.4349999999999997e-07j),0j,0j,0j,0j,0j,0j
line456,450,457,(2.7242039e-05+4.067324999999998e-06j),(2.7242039e-05+4.067324999999999e-06j),(2.7242039e-05+4.067324999999999e-06j),(1.2382745000000002e-05+1.0846200000000018e-07j),(1.2382745000000002e-05+1.0846200000000018e-07j),(1.2382744999999999e-05+1.0846200000000026e-07j),0j,0j,0j,0j,0j,0j
line457,451,458,(0.005106849999999999+0.00038520239999999994j),(0.005106849999999999+0.00038520240000000004j),(0.005106849999999998+0.0003852023999999999j),(7.295500000000006e-05-1.454810975742062e-21j),(7.295500000000008e-05-7.27405487871031e-22j),(7.295500000000005e-05-1.4553788435226788e-21j),0j,0j,0j,0j,0j,0j
line458,452,459,(0.0007824133333333331+5.9016319999999974e-05j),(0.0007824133333333335+5.901632e-05j),(0.0007824133333333333+5.901632000000001e-05j),(1.1177333333333344e-05-1.3659438344488846e-22j),(1.1177333333333342e-05-1.3659438344488846e-22j),(1.1177333333333347e-05+0j),0j,0j,0j,0j,0j,0j
line459,453,460,(0.004526223166666667+0.00043303683333333325j),(0.004526223166666667+0.0004330368333333333j),(0.004526223166666667+0.00043303683333333336j),(0.0019980786666666667+2.8749333333333295e-05j),(0.0019980786666666667+2.8749333333333295e-05j),(0.001998078666666667+2.8749333333333387e-05j),0j,0j,0j,0j,0j,0j
line460,453,461,(0.004526223166666667+0.00043303683333333325j),(0.004526223166666667+0.0004330368333333333j),(0.004526223166666667+0.00043303683333333336j),(0.0019980786666666667+2.8749333333333295e-05j),(0.0019980786666666667+2.8749333333333295e-05j),(0.001998078666666667+2.8749333333333387e-05j),0j,0j,0j,0j,0j,0j
line461,453,462,(0.004300216666666665+0.00032435919999999994j),(0.004300216666666668+0.00032435920000000004j),(0.004300216666666668+0.00032435919999999994j),(6.143166666666674e-05+0j),(6.143166666666672e-05-2.0630560969572293e-21j),(6.143166666666672e-05-2.5798267322843378e-21j),0j,0j,0j,0j,0j,0j
line462,455,463,(0.0008362083333333332+6.3074e-05j),(0.0008362083333333333+6.3074e-05j),(0.0008362083333333331+6.307399999999999e-05j),(1.1945833333333345e-05+1.560232568262488e-22j),(1.194583333333334e-05+0j),(1.194583333333334e-05-1.5608415860803065e-22j),0j,0j,0j,0j,0j,0j
line463,456,464,(7.777627000000001e-05+1.161225e-05j),(7.777627e-05+1.1612249999999994e-05j),(7.777627e-05+1.1612249999999994e-05j),(3.5352849999999995e-05+3.0965999999999977e-07j),(3.535284999999999e-05+3.096599999999983e-07j),(3.5352849999999995e-05+3.0965999999999755e-07j),0j,0j,0j,0j,0j,0j
line464,457,465,(2.0249559000000005e-05+3.0233249999999996e-06j),(2.0249558999999998e-05+3.023325e-06j),(2.0249559e-05+3.0233249999999996e-06j),(9.204345000000002e-06+8.062200000000023e-08j),(9.204345000000002e-06+8.062200000000023e-08j),(9.204344999999999e-06+8.06220000000005e-08j),0j,0j,0j,0j,0j,0j
line465,459,466,(0.0007399116666666664+5.581047999999999e-05j),(0.0007399116666666667+5.581048000000001e-05j),(0.0007399116666666665+5.5810479999999996e-05j),(1.0570166666666674e-05-2.4431498359338886e-22j),(1.0570166666666673e-05+0j),(1.0570166666666674e-05+2.444103489774958e-22j),0j,0j,0j,0j,0j,0j
line466,460,467,(0.005028847633333334+0.0004811243666666668j),(0.005028847633333335+0.0004811243666666668j),(0.005028847633333333+0.00048112436666666663j),(0.0022199597333333347+3.194186666666675e-05j),(0.0022199597333333334+3.1941866666666694e-05j),(0.002219959733333334+3.1941866666666694e-05j),0j,0j,0j,0j,0j,0j
line467,460,468,(0.005028847633333334+0.0004811243666666668j),(0.005028847633333335+0.0004811243666666668j),(0.005028847633333333+0.00048112436666666663j),(0.0022199597333333347+3.194186666666675e-05j),(0.0022199597333333334+3.1941866666666694e-05j),(0.002219959733333334+3.1941866666666694e-05j),0j,0j,0j,0j,0j,0j
line468,460,469,(0.0007413584933333334+7.092790666666668e-05j),(0.0007413584933333333+7.092790666666665e-05j),(0.0007413584933333334+7.092790666666666e-05j),(0.0003272690133333333+4.70890666666667e-06j),(0.00032726901333333334+4.708906666666679e-06j),(0.0003272690133333333+4.708906666666662e-06j),0j,0j,0j,0j,0j,0j
line469,462,470,(0.0006279933333333331+4.7368639999999995e-05j),(0.0006279933333333334+4.736864000000001e-05j),(0.0006279933333333331+4.736863999999999e-05j),(8.97133333333334e-06-2.639925542751217e-22j),(8.971333333333338e-06-2.639925542751217e-22j),(8.97133333333334e-06-1.7606373370650413e-22j),0j,0j,0j,0j,0j,0j
line470,463,471,(0.000582435+4.393224000000001e-05j),(0.0005824350000000001+4.393224000000001e-05j),(0.0005824350000000001+4.393224e-05j),(8.32050000000001e-06+7.569292474203334e-23j),(8.320500000000008e-06-2.2707877422610005e-22j),(8.32050000000001e-06-1.5144494111026194e-22j),0j,0j,0j,0j,0j,0j
line471,464,472,(7.402384000000001e-05+1.1051999999999995e-05j),(7.402384e-05+1.1051999999999997e-05j),(7.402384e-05+1.1051999999999999e-05j),(3.3647200000000005e-05+2.9472000000000067e-07j),(3.36472e-05+2.947199999999979e-07j),(3.36472e-05+2.947200000000004e-07j),0j,0j,0j,0j,0j,0j
line472,465,473,(2.4863992999999995e-05+3.712275e-06j),(2.4863992999999992e-05+3.712274999999998e-06j),(2.4863992999999992e-05+3.7122749999999987e-06j),(1.1301814999999995e-05+9.899399999999892e-08j),(1.1301814999999997e-05+9.899400000000015e-08j),(1.1301814999999995e-05+9.899399999999888e-08j),0j,0j,0j,0j,0j,0j
line473,466,474,(0.003734499999999998+0.00028168799999999983j),(0.0037345+0.00028168800000000004j),(0.0037344999999999995+0.00028168800000000004j),(5.335000000000003e-05-1.5559487516062774e-21j),(5.3350000000000036e-05+0j),(5.335000000000004e-05+0j),0j,0j,0j,0j,0j,0j
line474,467,475,(0.0018428164333333344+0.00017630756666666675j),(0.0018428164333333338+0.00017630756666666667j),(0.0018428164333333336+0.00017630756666666664j),(0.0008135021333333341+1.1705066666666722e-05j),(0.0008135021333333339+1.1705066666666669e-05j),(0.0008135021333333338+1.1705066666666667e-05j),0j,0j,0j,0j,0j,0j
line475,467,476,(0.0018428164333333344+0.00017630756666666675j),(0.0018428164333333338+0.00017630756666666667j),(0.0018428164333333336+0.00017630756666666664j),(0.0008135021333333341+1.1705066666666722e-05j),(0.0008135021333333339+1.1705066666666669e-05j),(0.0008135021333333338+1.1705066666666667e-05j),0j,0j,0j,0j,0j,0j
line476,470,477,(0.0003424283333333332+2.582887999999999e-05j),(0.00034242833333333325+2.5828879999999998e-05j),(0.0003424283333333333+2.582888e-05j),(4.891833333333337e-06-5.232746987857401e-23j),(4.891833333333338e-06+0j),(4.891833333333339e-06+0j),0j,0j,0j,0j,0j,0j
line477,471,478,(0.00040923166666666667+3.086775999999999e-05j),(0.0004092316666666667+3.086775999999999e-05j),(0.0004092316666666667+3.086776e-05j),(5.846166666666672e-06-1.4947164450885706e-22j),(5.846166666666672e-06+7.473582225442853e-23j),(5.8461666666666726e-06+0j),0j,0j,0j,0j,0j,0j
line478,472,479,(8.339235666666664e-05+1.2450749999999993e-05j),(8.339235666666665e-05+1.2450749999999994e-05j),(8.339235666666665e-05+1.245075e-05j),(3.790561666666667e-05+3.3202000000000067e-07j),(3.7905616666666655e-05+3.3202000000000236e-07j),(3.7905616666666655e-05+3.320200000000013e-07j),0j,0j,0j,0j,0j,0j
line479,473,480,(3.212572366666667e-05+4.7964750000000005e-06j),(3.212572366666667e-05+4.796474999999999e-06j),(3.2125723666666666e-05+4.796474999999997e-06j),(1.4602601666666667e-05+1.2790599999999958e-07j),(1.4602601666666664e-05+1.2790599999999958e-07j),(1.4602601666666664e-05+1.2790599999999858e-07j),0j,0j,0j,0j,0j,0j
line480,474,481,(0.00022147999999999995+1.6705919999999993e-05j),(0.00022147999999999997+1.6705920000000004e-05j),(0.00022147999999999997+1.6705919999999997e-05j),(3.164000000000002e-06+4.378137305473561e-23j),(3.1640000000000035e-06+8.756274610947122e-23j),(3.164000000000003e-06-4.3798462581528804e-23j),0j,0j,0j,0j,0j,0j
line481,475,482,(0.0038987402666666674+0.0003730037333333334j),(0.0038987402666666665+0.0003730037333333333j),(0.003898740266666667+0.00037300373333333325j),(0.0017210794666666666+2.476373333333333e-05j),(0.001721079466666667+2.4763733333333274e-05j),(0.0017210794666666668+2.476373333333328e-05j),0j,0j,0j,0j,0j,0j
line482,475,483,(0.0038987402666666674+0.0003730037333333334j),(0.0038987402666666665+0.0003730037333333333j),(0.003898740266666667+0.00037300373333333325j),(0.0017210794666666666+2.476373333333333e-05j),(0.001721079466666667+2.4763733333333274e-05j),(0.0017210794666666668+2.476373333333328e-05j),0j,0j,0j,0j,0j,0j
line483,475,484,(0.011989716666666666+0.0009043672j),(0.011989716666666669+0.0009043672j),(0.011989716666666667+0.0009043672000000001j),(0.00017128166666666687-2.0047407323164497e-21j),(0.00017128166666666682-6.014222196949349e-21j),(0.00017128166666666685-4.011046516985893e-21j),0j,0j,0j,0j,0j,0j
line484,477,485,(0.00023196833333333336+1.749704e-05j),(0.0002319683333333333+1.749704e-05j),(0.00023196833333333333+1.7497039999999998e-05j),(3.3138333333333355e-06+4.802614770727438e-23j),(3.3138333333333363e-06+0j),(3.3138333333333363e-06-4.804489413025636e-23j),0j,0j,0j,0j,0j,0j
line485,478,486,(0.00019553333333333333+1.4748800000000005e-05j),(0.00019553333333333333+1.4748800000000002e-05j),(0.00019553333333333333+1.4748799999999998e-05j),(2.793333333333337e-06-1.0237247674750182e-22j),(2.7933333333333355e-06-1.7062079457916969e-22j),(2.7933333333333355e-06-1.0241243659942496e-22j),0j,0j,0j,0j,0j,0j
line486,479,487,(8.808917333333334e-05+1.3151999999999994e-05j),(8.808917333333331e-05+1.3151999999999994e-05j),(8.808917333333333e-05+1.3151999999999992e-05j),(4.004053333333332e-05+3.5071999999999614e-07j),(4.004053333333332e-05+3.5071999999999614e-07j),(4.004053333333332e-05+3.5071999999999567e-07j),0j,0j,0j,0j,0j,0j
line487,480,488,(5.6075469999999986e-05+8.372249999999998e-06j),(5.6075469999999986e-05+8.372249999999998e-06j),(5.6075469999999986e-05+8.372249999999998e-06j),(2.5488849999999986e-05+2.2325999999999826e-07j),(2.5488849999999986e-05+2.2325999999999826e-07j),(2.548884999999999e-05+2.2325999999999984e-07j),0j,0j,0j,0j,0j,0j
line488,481,489,(0.00019985000000000003+1.5074400000000004e-05j),(0.00019985+1.5074399999999997e-05j),(0.00019984999999999995+1.5074399999999994e-05j),(2.8550000000000036e-06+3.5647465152317697e-23j),(2.855000000000003e-06+1.4258986060927079e-22j),(2.855000000000002e-06-7.132275941406359e-23j),0j,0j,0j,0j,0j,0j
line489,482,490,(0.005587813733333333+0.0005346022666666666j),(0.005587813733333334+0.0005346022666666668j),(0.005587813733333333+0.0005346022666666666j),(0.002466712533333334+3.549226666666674e-05j),(0.002466712533333334+3.549226666666668e-05j),(0.002466712533333334+3.549226666666669e-05j),0j,0j,0j,0j,0j,0j
line490,482,491,(0.005587813733333333+0.0005346022666666666j),(0.005587813733333334+0.0005346022666666668j),(0.005587813733333333+0.0005346022666666666j),(0.002466712533333334+3.549226666666674e-05j),(0.002466712533333334+3.549226666666668e-05j),(0.002466712533333334+3.549226666666669e-05j),0j,0j,0j,0j,0j,0j
line491,484,492,(0.0006742866666666665+5.086047999999999e-05j),(0.0006742866666666666+5.0860480000000004e-05j),(0.0006742866666666665+5.086048e-05j),(9.632666666666673e-06+3.0434821249971116e-22j),(9.632666666666672e-06+0j),(9.632666666666672e-06+1.0148900370833189e-22j),0j,0j,0j,0j,0j,0j
line492,484,493,(0.004751366666666667+0.00035838880000000007j),(0.004751366666666667+0.0003583888000000001j),(0.004751366666666668+0.0003583888000000002j),(6.787666666666673e-05-6.296619684578859e-22j),(6.787666666666675e-05-1.888985905373658e-21j),(6.787666666666675e-05-1.2598154987069997e-21j),0j,0j,0j,0j,0j,0j
line493,485,494,(0.00035234499999999995+2.6576880000000005e-05j),(0.00035234500000000006+2.6576880000000005e-05j),(0.00035234500000000006+2.657688000000001e-05j),(5.033500000000005e-06+5.540214482238343e-23j),(5.033500000000004e-06+0j),(5.033500000000004e-06-5.542377037618134e-23j),0j,0j,0j,0j,0j,0j
line494,486,495,(0.00012386499999999997+9.34296e-06j),(0.00012386499999999997+9.34296e-06j),(0.00012386499999999997+9.342959999999999e-06j),(1.7695000000000012e-06-1.0954878089491096e-22j),(1.7695000000000012e-06-8.216158567118322e-23j),(1.7695000000000012e-06-5.479577096496372e-23j),0j,0j,0j,0j,0j,0j
line495,487,496,(0.0001926046466666667+2.8756499999999985e-05j),(0.00019260464666666661+2.875649999999999e-05j),(0.00019260464666666664+2.8756499999999988e-05j),(8.754756666666664e-05+7.668399999999905e-07j),(8.754756666666667e-05+7.668399999999952e-07j),(8.754756666666667e-05+7.668399999999985e-07j),0j,0j,0j,0j,0j,0j
line496,488,497,(7.018601333333332e-05+1.0478999999999996e-05j),(7.018601333333336e-05+1.0479000000000002e-05j),(7.018601333333335e-05+1.0478999999999999e-05j),(3.190273333333335e-05+2.7944000000000224e-07j),(3.190273333333334e-05+2.7944000000000097e-07j),(3.190273333333335e-05+2.7943999999999954e-07j),0j,0j,0j,0j,0j,0j
line497,489,498,(0.000271635+2.0489040000000003e-05j),(0.000271635+2.0489040000000003e-05j),(0.000271635+2.048904e-05j),(3.880500000000004e-06+1.3171092481392433e-22j),(3.880500000000004e-06-3.292773120348108e-23j),(3.880500000000003e-06-1.3176233657243052e-22j),0j,0j,0j,0j,0j,0j
line498,490,499,(0.003410054266666666+0.00032624973333333316j),(0.003410054266666666+0.0003262497333333334j),(0.003410054266666668+0.00032624973333333354j),(0.001505351466666666+2.1659733333333234e-05j),(0.0015053514666666667+2.165973333333328e-05j),(0.001505351466666667+2.16597333333334e-05j),0j,0j,0j,0j,0j,0j
line499,490,500,(0.003410054266666666+0.00032624973333333316j),(0.003410054266666666+0.0003262497333333334j),(0.003410054266666668+0.00032624973333333354j),(0.001505351466666666+2.1659733333333234e-05j),(0.0015053514666666667+2.165973333333328e-05j),(0.001505351466666667+2.16597333333334e-05j),0j,0j,0j,0j,0j,0j
line500,492,501,(0.00028500499999999996+2.1497519999999997e-05j),(0.000285005+2.149752e-05j),(0.00028500499999999996+2.1497519999999997e-05j),(4.071500000000004e-06+7.24978798688427e-23j),(4.0715000000000024e-06+0j),(4.0715000000000024e-06-1.4505235707002207e-22j),0j,0j,0j,0j,0j,0j
line501,493,502,(0.0030403333333333324+0.00022932799999999992j),(0.0030403333333333333+0.000229328j),(0.0030403333333333337+0.00022932800000000008j),(4.343333333333336e-05-1.5469063492728245e-21j),(4.343333333333336e-05-2.0625417990304325e-21j),(4.3433333333333384e-05-5.15836721787682e-22j),0j,0j,0j,0j,0j,0j
line502,494,503,(0.0005347183333333334+4.0333040000000004e-05j),(0.0005347183333333334+4.0333040000000004e-05j),(0.0005347183333333333+4.033304e-05j),(7.63883333333334e-06+2.5519402222372052e-22j),(7.638833333333339e-06+1.2759701111186026e-22j),(7.63883333333334e-06+0j),0j,0j,0j,0j,0j,0j
line503,495,504,(8.374799999999998e-05+6.316991999999997e-06j),(8.374800000000001e-05+6.3169920000000005e-06j),(8.374800000000001e-05+6.316992000000001e-06j),(1.1964000000000007e-06-1.2519853076532045e-23j),(1.1964000000000007e-06-1.2519853076532045e-23j),(1.196400000000001e-06-1.2524740048997041e-23j),0j,0j,0j,0j,0j,0j
line504,496,505,(0.0043683409+0.0006522075000000001j),(0.004368340899999999+0.0006522075j),(0.004368340899999998+0.0006522074999999994j),(0.0019856094999999995+1.739220000000014e-05j),(0.0019856094999999995+1.7392199999999918e-05j),(0.001985609499999999+1.7392199999999955e-05j),0j,0j,0j,0j,0j,0j
line505,497,506,(4.8307889666666655e-05+7.212525e-06j),(4.8307889666666655e-05+7.212524999999995e-06j),(4.830788966666667e-05+7.212525e-06j),(2.195813166666666e-05+1.92333999999999e-07j),(2.1958131666666667e-05+1.9233399999999958e-07j),(2.1958131666666663e-05+1.923339999999985e-07j),0j,0j,0j,0j,0j,0j
line506,498,507,(0.00035658+2.689632e-05j),(0.00035658+2.6896319999999993e-05j),(0.0003565799999999999+2.689631999999999e-05j),(5.094000000000007e-06-5.674195742579655e-23j),(5.094000000000006e-06+5.674195742579655e-23j),(5.094000000000005e-06+0j),0j,0j,0j,0j,0j,0j
line507,499,508,(0.0005872460733333334+5.618352666666665e-05j),(0.0005872460733333334+5.618352666666666e-05j),(0.0005872460733333334+5.618352666666667e-05j),(0.00025923685333333334+3.73002666666667e-06j),(0.00025923685333333334+3.73002666666667e-06j),(0.00025923685333333334+3.730026666666668e-06j),0j,0j,0j,0j,0j,0j
line508,499,509,(0.0005872460733333334+5.618352666666665e-05j),(0.0005872460733333334+5.618352666666666e-05j),(0.0005872460733333334+5.618352666666667e-05j),(0.00025923685333333334+3.73002666666667e-06j),(0.00025923685333333334+3.73002666666667e-06j),(0.00025923685333333334+3.730026666666668e-06j),0j,0j,0j,0j,0j,0j
line509,501,510,(0.0001674633333333333+1.2631519999999999e-05j),(0.00016746333333333334+1.2631520000000004e-05j),(0.0001674633333333333+1.2631519999999999e-05j),(2.3923333333333355e-06+7.508982042327055e-23j),(2.392333333333335e-06+0j),(2.3923333333333346e-06-2.5039710273976103e-23j),0j,0j,0j,0j,0j,0j
line510,503,511,(0.00037936499999999994+2.861495999999999e-05j),(0.0003793649999999999+2.8614960000000004e-05j),(0.00037936500000000005+2.861496000000001e-05j),(5.419500000000004e-06+0j),(5.419500000000005e-06+6.422511248286476e-23j),(5.419500000000005e-06-1.9275054592452754e-22j),0j,0j,0j,0j,0j,0j
line511,504,512,(0.00011681833333333333+8.811440000000005e-06j),(0.00011681833333333333+8.81144e-06j),(0.0001168183333333333+8.811439999999998e-06j),(1.6688333333333347e-06-2.4359723542560476e-23j),(1.6688333333333343e-06-7.307917062768143e-23j),(1.6688333333333345e-06-4.873846412908776e-23j),0j,0j,0j,0j,0j,0j
line512,505,513,(0.0064922666666666655+0.0004897024j),(0.006492266666666666+0.0004897024000000002j),(0.006492266666666664+0.0004897023999999999j),(9.274666666666676e-05+2.3512189059007555e-21j),(9.274666666666672e-05-2.3512189059007555e-21j),(9.274666666666672e-05-2.3521366756207407e-21j),0j,0j,0j,0j,0j,0j
line513,505,514,(0.0006715694333333333+0.00010026749999999993j),(0.0006715694333333333+0.00010026749999999997j),(0.0006715694333333331+0.00010026749999999993j),(0.00030525883333333337+2.673799999999993e-06j),(0.00030525883333333326+2.673799999999993e-06j),(0.0003052588333333332+2.673799999999989e-06j),0j,0j,0j,0j,0j,0j
line514,506,515,(4.2945481333333315e-05+6.411899999999998e-06j),(4.294548133333332e-05+6.4119e-06j),(4.2945481333333335e-05+6.411900000000001e-06j),(1.9520673333333327e-05+1.7098400000000131e-07j),(1.9520673333333334e-05+1.709840000000004e-07j),(1.952067333333333e-05+1.709840000000017e-07j),0j,0j,0j,0j,0j,0j
line515,508,516,(0.001583359433333333+0.00015148456666666662j),(0.0015833594333333329+0.00015148456666666657j),(0.001583359433333333+0.00015148456666666662j),(0.0006989661333333332+1.0057066666666644e-05j),(0.0006989661333333332+1.0057066666666664e-05j),(0.0006989661333333332+1.0057066666666654e-05j),0j,0j,0j,0j,0j,0j
line516,508,517,(0.001583359433333333+0.00015148456666666662j),(0.0015833594333333329+0.00015148456666666657j),(0.001583359433333333+0.00015148456666666662j),(0.0006989661333333332+1.0057066666666644e-05j),(0.0006989661333333332+1.0057066666666664e-05j),(0.0006989661333333332+1.0057066666666654e-05j),0j,0j,0j,0j,0j,0j
line517,508,518,(0.005520199999999999+0.0004163808j),(0.005520199999999999+0.0004163807999999999j),(0.0055201999999999985+0.00041638079999999983j),(7.886000000000005e-05+1.6998476171460214e-21j),(7.886000000000005e-05+1.6998476171460214e-21j),(7.886000000000007e-05+8.502555660005496e-22j),0j,0j,0j,0j,0j,0j
line518,510,519,(0.00015411666666666665+1.16248e-05j),(0.00015411666666666665+1.1624800000000001e-05j),(0.00015411666666666663+1.1624799999999996e-05j),(2.2016666666666687e-06-4.239840881420543e-23j),(2.2016666666666687e-06-2.1199204407102716e-23j),(2.201666666666669e-06+4.2414958517717757e-23j),0j,0j,0j,0j,0j,0j
line519,511,520,(0.0002591866666666666+1.9550079999999996e-05j),(0.00025918666666666665+1.955008e-05j),(0.00025918666666666665+1.9550080000000003e-05j),(3.7026666666666697e-06-5.995779607358014e-23j),(3.7026666666666697e-06-1.1991559214716028e-22j),(3.70266666666667e-06-5.998119987046833e-23j),0j,0j,0j,0j,0j,0j
line520,512,521,(8.915666666666665e-05+6.7249600000000014e-06j),(8.915666666666664e-05+6.724959999999999e-06j),(8.915666666666665e-05+6.724960000000001e-06j),(1.2736666666666674e-06-2.837840518461908e-23j),(1.2736666666666678e-06-2.837840518461908e-23j),(1.2736666666666678e-06+1.419474117506645e-23j),0j,0j,0j,0j,0j,0j
line521,513,522,(0.005725299999999999+0.00043185120000000004j),(0.0057253+0.00043185119999999993j),(0.005725299999999999+0.00043185119999999993j),(8.179000000000008e-05+9.142539935067656e-22j),(8.179000000000007e-05+1.828507987013531e-21j),(8.179000000000004e-05-1.8292217228800725e-21j),0j,0j,0j,0j,0j,0j
line522,514,523,(0.00036229284666666663+5.409149999999997e-05j),(0.0003622928466666667+5.409149999999998e-05j),(0.0003622928466666667+5.409149999999999e-05j),(0.00016467856666666669+1.4424399999999972e-06j),(0.00016467856666666666+1.4424399999999972e-06j),(0.00016467856666666663+1.442439999999997e-06j),0j,0j,0j,0j,0j,0j
line523,515,524,(3.344183699999999e-05+4.9929749999999986e-06j),(3.344183699999999e-05+4.992974999999998e-06j),(3.344183699999999e-05+4.9929749999999986e-06j),(1.5200834999999996e-05+1.3314600000000068e-07j),(1.5200834999999996e-05+1.3314600000000068e-07j),(1.5200834999999996e-05+1.3314600000000066e-07j),0j,0j,0j,0j,0j,0j
line524,516,525,(0.0011655413000000003+0.00011151070000000004j),(0.0011655413+0.00011151070000000004j),(0.0011655413+0.00011151070000000002j),(0.0005145223999999998+7.4032000000000005e-06j),(0.0005145224000000001+7.403200000000022e-06j),(0.0005145224000000001+7.403200000000049e-06j),0j,0j,0j,0j,0j,0j
line525,516,526,(0.0011655413000000003+0.00011151070000000004j),(0.0011655413+0.00011151070000000004j),(0.0011655413+0.00011151070000000002j),(0.0005145223999999998+7.4032000000000005e-06j),(0.0005145224000000001+7.403200000000022e-06j),(0.0005145224000000001+7.403200000000049e-06j),0j,0j,0j,0j,0j,0j
